Country,Rank,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewable,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,1,127050.0,126767.0,597237.0,411683.0,4.7,138.0,127191000000.0,93.0,19.75491,2752131773355.16,3550342425238.25,4594306848763.08,5101702432883.45,6087164527421.24,7551500425597.77,8532230724141.76,9570405758739.79,10438529153237.6,11015542352468.9
United States,2,96661.0,94747.0,792274.0,265436.0,8.2,230.0,90838000000.0,286.0,11.57098,13814611414000.0,14451858650000.0,14712844084000.0,14448933025000.0,14992052727000.0,15542581104000.0,16197007349000.0,16784849190000.0,17521746534000.0,18219297584000.0
Japan,3,30504.0,30287.0,223024.0,61554.0,7.31,134.0,18984000000.0,149.0,10.23282,4530377224970.4,4515264514430.57,5037908465114.48,5231382674593.7,5700098114744.41,6157459594823.72,6203213121334.12,5155717056270.83,4850413536037.84,4389475622588.97
United Kingdom,4,20944.0,20357.0,206091.0,37874.0,9.84,139.0,7920000000.0,124.0,10.60047,2713749770009.2,3100882352941.18,2922667279411.76,2410909799034.12,2475244321361.11,2659310054646.23,2704887678386.72,2786022872706.81,3063803240208.01,2928591002002.51
Russian Federation,5,18534.0,18301.0,34266.0,12422.0,1.85,57.0,30709000000.0,214.0,17.28868,989930542278.695,1299705764823.62,1660846387624.78,1222644282201.86,1524917468442.01,2051661732059.78,2210256976945.38,2297128039058.21,2059984158438.46,1363594369577.82
Canada,6,17899.0,17620.0,215003.0,40930.0,12.01,149.0,10431000000.0,296.0,61.94543,1315415197461.21,1464977190205.75,1549131208997.19,1371153004986.44,1613542812589.39,1789140665202.84,1823966686523.63,1842018420853.1,1801480123070.82,1552899925233.71
Germany,7,17027.0,16831.0,140566.0,27426.0,8.26,126.0,13261000000.0,165.0,17.90153,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3360549973888.58
India,8,15005.0,14841.0,128763.0,37209.0,8.58,115.0,33195000000.0,26.0,14.96908,940259888792.141,1216735441524.86,1198895582137.51,1341886602798.69,1675615335600.56,1823050405350.42,1827637859135.7,1856722121394.53,2039127446298.55,2103587813812.75
France,9,13153.0,12973.0,130632.0,28601.0,9.93,114.0,10597000000.0,166.0,17.02028,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84
South Korea,10,11983.0,11923.0,114675.0,22595.0,9.57,104.0,11007000000.0,221.0,2.279353,1011797457138.5,1122679154632.41,1002219052967.54,901934953364.7109,1094499338702.72,1202463682633.85,1222807284485.31,1305604981271.91,1411333926201.24,1382764027113.82
Italy,11,10964.0,10794.0,111850.0,26661.0,10.2,106.0,6530000000.0,109.0,33.66723,1947919708944.93,2210292636189.43,2398856598798.89,2191241872742.43,2134017843247.16,2291991045770.29,2087077032435.15,2141315327318.21,2159133919743.77,1835899237320.04
Spain,12,9428.0,9330.0,123336.0,23964.0,13.08,115.0,4923000000.0,106.0,37.96859,1259343871534.31,1472131125102.66,1625224842536.99,1485583495415.39,1420722034063.0,1478772824224.03,1324820091194.67,1354757433212.72,1369398844599.58,1195119269971.52
Iran,13,8896.0,8819.0,57470.0,19125.0,6.46,72.0,9172000000.0,119.0,5.707721,266298911661.14398,349881601458.56,406070949553.875,414059094949.063,487069570463.76794,583500357530.414,598853401276.1011,467414852231.299,434474616831.914,385874474398.59
Australia,14,8831.0,8725.0,90765.0,15606.0,10.28,107.0,5386000000.0,231.0,11.81081,746054207846.6609,853099630996.31,1053995523724.26,927805183330.879,1146138465603.81,1396649906339.35,1546151783872.96,1576184467015.49,1467483705131.74,1351693984524.5
Brazil,15,8668.0,8596.0,60702.0,14396.0,7.0,86.0,12149000000.0,59.0,69.64803,1107640289615.23,1397084349956.35,1695824565983.2,1667019783585.08,2208871646202.82,2616200980392.16,2465188674415.03,2472806456101.29,2455994050148.75,1802214373741.32
